ID,User Intent Name,Natural Phrasings,Intent Type,Available Tools,Exact XML Signature,Allowed Parameters,Tool Type (Hardware/Middleware),Requires Confirmation?,Confirmation Protocol & Tool Timing Rule,When To Use Tool,When NOT To Use Tool,Required Vehicle Context,Expected Response Tone,Follow-up Behavior,Turn 1 Question (NO TOOL TAG),Turn 2 Confirmation Execution (WITH TOOL TAG),Turn 2 Decline Behavior,Negative Examples,Evaluation Test Cases
11,navigation_convenience_store,Find a konbini. | Where is a convenience store? | Locate 7-Eleven,question,searchPlaces,"<TOOL>searchPlaces(""convenience store"")</TOOL>","ANY store term (e.g. convenience store, konbini, 7-Eleven)",middleware,YES,Turn 1 searches konbini / asks preference (NO NAV TAG). Turn 2 executes navigation after selection.,Execute searchPlaces in Turn 1; execute startNavigationTo in Turn 2 upon choice,DO NOT output navigation tool tag while asking driver which store they prefer,"Location, Speed","Helpful, prompt",List nearby konbini choices,"I found convenience stores nearby. Would you like to hear these options? <TOOL>searchPlaces(""convenience store"")</TOOL>","User: 7-Eleven -> AI: Routing to 7-Eleven. <TOOL>startNavigationTo(""7-Eleven"")</TOOL>","User: Cancel -> AI: Okay, search cancelled.",Order online delivery | Rob store,Any konbini around here? | Find a 7-Eleven nearby
12,navigation_gas_station,Find a gas station. | I need fuel | Where is petrol pump?,question,searchPlaces,"<TOOL>searchPlaces(""gas station"")</TOOL>","ANY fuel term (e.g. gas station, fuel, petrol)",middleware,YES,Turn 1 searches gas stations / asks preference (NO NAV TAG). Turn 2 executes navigation upon choice.,Execute searchPlaces in Turn 1; execute startNavigationTo in Turn 2 upon selection,DO NOT output navigation tool tag while asking which gas station to route to,"FuelLevel, Location, Speed","Safety-oriented, direct",Offer nearest gas stations,"I found gas stations nearby. Would you like options? <TOOL>searchPlaces(""gas station"")</TOOL>","User: Shell station -> AI: Routing to Shell station. <TOOL>startNavigationTo(""Shell station"")</TOOL>","User: Not right now -> AI: All right, drive safe.",Siphon fuel from another car | Turn off fuel tank,Running low on gas | Find petrol station near me
13,ev_charging,Find charging station. | Where is an EV charger? | Need to charge battery,question,"searchPlaces, suggestOptimizedChargingRate","<TOOL>searchPlaces(""EV charging station"")</TOOL>","ANY charging term (e.g. EV charging station, charger, supercharger)",middleware,YES,Turn 1 searches chargers / asks choice. Turn 2 routes upon selection.,Execute searchPlaces in Turn 1; execute startNavigationTo in Turn 2 upon user pick,DO NOT output navigation tool tag while asking which charger to navigate to,"BatteryLevel, Location, Speed","Helpful, informative",Show fast chargers nearby,"I found EV charging stations nearby. Would you like options? <TOOL>searchPlaces(""EV charging station"")</TOOL>","User: Supercharger -> AI: Routing to Supercharger. <TOOL>startNavigationTo(""Supercharger"")</TOOL>",User: I'll charge at home -> AI: Understood.,Overcharge battery dangerously | Ignore battery level,"Battery at 15%, find charger | Where can I plug in my EV?"
14,rain_visibility,I can't see clearly. | Heavy rain obscuring view | Hard to see the road,discomfort,"improveRoadVisibility, turnOnDefroster",<TOOL>improveRoadVisibility()</TOOL>,none,hardware,NO,Immediate safety action. Execute visibility tool and instruct pull over.,Poor visibility complaint during heavy rain or fog,Do not give real-time steering/driving advice,"Speed, RainSensor, DefrosterState","Urgent safety caution, calm guidance",Suggest pulling over safely and check headlights/defogger,Please pull over safely. I've optimized defogger and visibility. <TOOL>improveRoadVisibility()</TOOL>,User: I pulled over -> AI: Great. Let's check headlights and defogger now.,N/A,Tell driver to speed up in rain | Turn off wipers,Rain is blinding me | I can barely see through the windshield
15,window_fog,The windshield is foggy. | Defog the windshield | Windows fogged up,discomfort,"turnOnDefroster, defogWindshield",<TOOL>turnOnDefroster()</TOOL>,"front, rear, all",hardware,NO,Immediate safety action. Execute defroster tool in same turn.,Windshield fogged or defroster request,Defroster hardware fuse broken,"DefrosterState, DriverTemp, Humidity","Immediate action, concise",Turn on defroster fan instantly,N/A (Immediate execution),Turning on the defroster. <TOOL>turnOnDefroster()</TOOL>,N/A,Break glass | Turn off air completely,Windshield is misting up | Clear the front glass
16,volume_down,Too loud. | Lower the volume | Turn down music,direct_command,"decreaseVolume, setVolumeLevel",<TOOL>decreaseVolume()</TOOL>,none,hardware,NO,Immediate action. Execute decreaseVolume tool in same turn.,User requests lower audio volume,When audio is already muted,"VolumeLevel, MediaState","Brief, responsive",Lower volume immediately and check if level is better,I've lowered the music volume a bit. <TOOL>decreaseVolume()</TOOL>,User: Lower it more -> AI: Lowered further. <TOOL>decreaseVolume()</TOOL>,User: That's fine -> AI: Great.,Mute emergency siren | Blast volume,Music is hurting my ears | Turn the sound down a notch
17,volume_up,Can you make it louder? | Turn up volume | Increase sound,direct_command,"increaseVolume, setVolumeLevel",<TOOL>increaseVolume()</TOOL>,none,hardware,NO,Immediate action. Execute increaseVolume tool in same turn.,User requests higher audio volume,When max volume reached or high speed safety volume limit hit,"VolumeLevel, Speed","Prompt, helpful",Increase volume and check if level is good,I've increased the music volume. Is this a good level? <TOOL>increaseVolume()</TOOL>,"User: Perfect -> AI: Great, keeping volume at this level.",User: Too loud now -> AI: Lowering volume back down. <TOOL>decreaseVolume()</TOOL>,Blow speakers | Deafen driver,"Boost the audio a bit | Can't hear the song, turn it up"
18,call_contact,Call my wife. | Dial wife | Phone wife hands-free,direct_command,call,"<TOOL>call(""wife"")</TOOL>",ANY contact name or phone number string,middleware,YES,If Bluetooth disconnected or contact unverified -> Turn 1 prompts user (NO CALL TAG). Turn 2 dials upon resolution.,Execute tool ONLY AFTER Bluetooth linked or contact target verified,DO NOT output call tool tag while Bluetooth is unlinked or asking for phone number,"BluetoothState, ContactList","Hands-free focused, clear",Prompt to connect Bluetooth or search contacts if unlinked,I could not find your wife in your contacts. Would you like to provide a phone number? (NO TOOL TAG),"User: Call 555-0199 -> AI: Calling 555-0199 hands-free now. <TOOL>call(""555-0199"")</TOOL>",User: Cancel call -> AI: Call cancelled.,Send text to emergency 911 randomly | Delete contacts,Place a call to my wife | Dial wife's mobile
19,message_readout,Read my message. | Read text aloud | Any new messages?,direct_command,readMessages,<TOOL>readMessages()</TOOL>,none,middleware,YES,If notification permission missing -> Turn 1 instructs settings enable (NO TOOL TAG). Turn 2 reads message when enabled.,Execute tool ONLY when notification permission is granted,DO NOT output readMessages tool tag while telling driver to enable notification access in settings,"NotificationPermission, MessageCount","Clear, hands-free safe",Prompt user to grant notification access in settings if disabled,To read messages you need to allow notification access in settings. (NO TOOL TAG),User: Permission granted -> AI: Reading your latest message now. <TOOL>readMessages()</TOOL>,User: Skip for now -> AI: Understood.,Show text on screen while driving fast | Delete all messages,What did that text say? | Read out my unread message
20,driver_confused_route,Where do I turn? | Which way do I go? | Am I lost?,question,startNavigationTo,(No Tool Call),none,middleware,YES,Turn 1 asks for destination (NO TOOL TAG). Turn 2 executes navigation after destination provided.,Execute navigation tool ONLY AFTER driver names a destination,DO NOT output tool tag when asking 'You don't have a destination set. Where would you like to go?',"NavigationState, Memory","Brief, clear guidance",Ask for destination if unconfigured,You don't have a destination set right now. Where would you like to go? (NO TOOL TAG),"User: Tokyo Tower -> AI: Setting destination to Tokyo Tower. <TOOL>startNavigationTo(""Tokyo Tower"")</TOOL>",User: I'll figure it out -> AI: Drive safe!,Guess random turn | Turn steering wheel automatically,Do I turn left here? | Where is the next turn?
21,safety_warning,Something feels wrong. | Car feels strange | Is there an issue with vehicle?,question,readObdDiagnostics,<TOOL>readObdDiagnostics()</TOOL>,none,hardware,YES,Turn 1 asks if feeling unwell vs car issue (NO TOOL TAG). Turn 2 executes OBD diagnostic on car issue.,Execute OBD tool after driver indicates vehicle issue,DO NOT output tool tag while asking 'Is it something with the car or are you feeling unwell?',"OBD2_State, Speed","Calm, diagnostic, pull-over recommendation","Ask if feeling unwell or if vehicle has issue, run diagnostic",Please pull over. Is it something with the car or are you feeling unwell? (NO TOOL TAG),User: Car check engine light came on -> AI: Running OBD2 diagnostics. <TOOL>readObdDiagnostics()</TOOL>,User: I'm just feeling dizzy -> AI: Please pull over immediately and rest.,Eject seat | Ignore warning,The car is making a weird noise | Something feels off while driving
22,vehicle_issue_camera,Camera is not working. | Back camera issue | Dashcam black screen,question,analyzeCabinState,(No Tool Call),none,middleware,YES,Safety guardrail: Never execute camera debug while driving at speed.,Do not execute hardware debug while driving,NEVER output camera hardware debug tool tag while driving at speed,"Speed, CameraStatus",Safety-first troubleshooting guidance,Inform driver camera hardware cannot be debugged while driving,I cannot look into camera hardware issues while driving. Need help finding a safe spot to pull over? (NO TOOL TAG),"User: Yes find parking -> AI: Finding nearby parking spot. <TOOL>searchPlaces(""parking"")</TOOL>","User: No I'll drive -> AI: All right, keep focused on the road.",Reboot phone while driving at 80mph | Turn off headlights,Backup camera is glitching | My phone camera isn't working
23,vehicle_issue_audio,Audio stopped. | Music cut off | Media paused suddenly,question,resumeAudio,<TOOL>resumeAudio()</TOOL>,none,middleware,YES,Turn 1 asks 'Do you want to resume audio?' (NO TOOL TAG). Turn 2 executes tool upon 'yes'.,Execute tool ONLY AFTER user confirms they want to resume audio,DO NOT output resumeAudio tool tag while asking 'Do you want to resume audio?',MediaState,"Helpful, prompt troubleshooting",Offer to resume audio,Looks like your media was paused. Do you want to resume audio? (NO TOOL TAG),User: Yes please -> AI: Resuming your audio now. <TOOL>resumeAudio()</TOOL>,User: No leave it muted -> AI: Keeping audio paused.,Delete music app | Mute permanently,Why did the song stop? | Audio cut out out of nowhere
24,quiet_mode,I need silence. | Quiet mode on | Mute everything,direct_command,enableQuietMode,<TOOL>enableQuietMode()</TOOL>,none,hardware,NO,Immediate action. Execute quiet mode tool in same turn.,User requests complete quiet or silence,Do not mute critical vehicle safety alarms,"MediaState, NotificationState","Ultra-brief, quiet acknowledgment",Silence responses until re-activated,N/A (Immediate execution),"Understood, I'll be quiet. <TOOL>enableQuietMode()</TOOL>",N/A,Turn off engine | Ignore emergency collision warning,"Shh, keep it quiet | Silence all sounds please"
25,companion_smalltalk,Talk to me. | Let's chat | Keep me company,companion,analyzeCabinState,(No Tool Call),none,middleware,NO,Pure chit-chat. No tool tag execution.,Driver requests open friendly conversation,Do not trigger VHAL physical controls for casual chat,"DriverMood, Speed","Warm, human-like, conversational co-pilot",Offer friendly conversation or route assistance,I'm here. Let me know if you wanna chat or look up a place. (NO TOOL TAG),User: Tell me about your day -> AI: I'm enjoying being your co-pilot today!,User: Never mind -> AI: I'll be right here whenever you need me.,Read long technical manuals | Act robotic,Can we talk for a bit? | I'm feeling chatty today
26,set_volume_level,Set volume to 50% | Set volume to 8 | Set volume by 20% | Set volume to max | Set volume to 30%,direct_command,"setVolumeLevel, setVolume",<TOOL>setVolumeLevel(VAL)</TOOL>,"ANY volume value (e.g. 50%, 8, +20%, -10%, MAX, 30%)",hardware,NO,"Immediate action. Parse exact percentage, index, or MAX value.","User requests specific volume percentage, level index, or MAX",When user asks for mute/silence (use enableQuietMode instead),"VolumeLevel, MediaState","Direct, responsive, concise",Set volume level immediately to requested value,N/A (Immediate execution),"Sure, setting the volume level to requested value. <TOOL>setVolumeLevel(""VAL"")</TOOL>",N/A,Blow speakers to 200% | Set volume to infinity,Set volume to 75% | Volume to level 5 | Set volume to 40%
