Tool Handler,User Intent,Dynamic Input (Added to Common Prompt),Exact LLM Output Expected
decreaseTemperature,decrease temperature (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>decreaseTemperature(zone)</TOOL>
- <TOOL>stopMusic()</TOOL>

[System Context: Speed=65mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=ON, Fan=1, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=3, Time=Morning, Media=Paused]

User: Hey, decrease temperature.","Good morning! Cooling it down — you should feel better soon. I'm turning on the climate system for you. I'll make sure everyone in the back is comfortable too. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>decreaseTemperature(all)</TOOL>"
decreaseTemperature,decrease temperature (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>decreaseTemperature(zone)</TOOL>
- <TOOL>nextTrack()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=0, AC=ON, Fan=1, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=4, Time=Morning, Media=Playing]

User: Hey, decrease temperature.",<TOOL>decreaseTemperature(all)</TOOL>
setFanSpeed,fan (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>setFanSpeed(LEVEL)</TOOL>
- <TOOL>prepareForElderlyPassengers()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=ON, Fan=4, HVAC=ON | DriverMood=Neutral / Focused, Occupants=3, Time=Night, Media=Playing]

User: What about the fan?",Good evening. I've adjusted the fan speed. <TOOL>setFanSpeed(2)</TOOL>
setFanSpeed,fan (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>setFanSpeed(LEVEL)</TOOL>
- <TOOL>turnOnRearDefroster()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=ON, Fan=5, HVAC=ON | DriverMood=Tired / Yawning, Occupants=2, Time=Evening, Media=Playing]

User: I need to check the fan.","I've adjusted the fan speed. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>setFanSpeed(2)</TOOL>"
setFanSpeed,fan (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>setFanSpeed(LEVEL)</TOOL>
- <TOOL>suggestAlternateRoute()</TOOL>

[System Context: Speed=0mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=5, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=2, Time=Afternoon, Media=Paused]

User: Can we adjust the fan?",<TOOL>setFanSpeed(2)</TOOL>
increaseFanSpeed,increase fan (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>increaseFanSpeed()</TOOL>
- <TOOL>checkVehicleState()</TOOL>

[System Context: Speed=85mph, DriverTemp=75F, PassTemp=75F, SeatHeat=1, AC=OFF, Fan=2, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=3, Time=Morning, Media=Playing]

User: Hey, increase fan.",Good morning! Cranking up the fan for you! <TOOL>increaseFanSpeed()</TOOL>
increaseFanSpeed,increase fan (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>increaseFanSpeed()</TOOL>
- <TOOL>closeAllWindows()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=2, AC=ON, Fan=5, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Night, Media=Playing]

User: Hey, increase fan.","Good evening. Cranking up the fan for you! By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>increaseFanSpeed()</TOOL>"
increaseFanSpeed,increase fan (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>increaseFanSpeed()</TOOL>
- <TOOL>turnOffRecirculation()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=2, AC=ON, Fan=1, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=1, Time=Afternoon, Media=Paused]

User: Can you increase fan?",<TOOL>increaseFanSpeed()</TOOL>
decreaseFanSpeed,decrease fan (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>decreaseFanSpeed()</TOOL>
- <TOOL>handleEmergencyFeeling()</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=2, AC=ON, Fan=1, HVAC=ON | DriverMood=Neutral / Focused, Occupants=2, Time=Morning, Media=Playing]

User: Please decrease fan.",Good morning! Dialed the fan back a notch. <TOOL>decreaseFanSpeed()</TOOL>
decreaseFanSpeed,decrease fan (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>decreaseFanSpeed()</TOOL>
- <TOOL>remember(FACT)</TOOL>

[System Context: Speed=65mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=3, Time=Afternoon, Media=Paused]

User: Please decrease fan.","Dialed the fan back a notch. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>decreaseFanSpeed()</TOOL>"
decreaseFanSpeed,decrease fan (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>decreaseFanSpeed()</TOOL>
- <TOOL>makeTripEnjoyable()</TOOL>

[System Context: Speed=65mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=ON, Fan=5, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=4, Time=Night, Media=Unknown]

User: Please decrease fan.",<TOOL>decreaseFanSpeed()</TOOL>
setAirflowDirection,airflow (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>setAirflowDirection(direction)</TOOL>
- <TOOL>openApp()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=3, Time=Afternoon, Media=Playing]

User: What about the airflow?",Adjusting the airflow — you should feel it soon. <TOOL>setAirflowDirection(face)</TOOL>
setAirflowDirection,airflow (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>setAirflowDirection(direction)</TOOL>
- <TOOL>answerVehicleIdentity()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=1, HVAC=ON | DriverMood=Tired / Yawning, Occupants=4, Time=Morning, Media=Unknown]

User: I need to check the airflow.","Good morning! Adjusting the airflow — you should feel it soon. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>setAirflowDirection(face)</TOOL>"
setAirflowDirection,airflow (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>setAirflowDirection(direction)</TOOL>
- <TOOL>turnOffRecirculation()</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=2, AC=OFF, Fan=3, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=1, Time=Afternoon, Media=Unknown]

User: Please help me with the airflow.",<TOOL>setAirflowDirection(face)</TOOL>
turnOnAC,turn on ac (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnAC()</TOOL>
- <TOOL>prevTrack()</TOOL>

[System Context: Speed=65mph, DriverTemp=60F, PassTemp=60F, SeatHeat=1, AC=OFF, Fan=1, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=2, Time=Night, Media=Unknown]

User: Can you turn on ac?",Good evening. AC is on — you should feel that soon. <TOOL>turnOnAC()</TOOL>
turnOnAC,turn on ac (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnAC()</TOOL>
- <TOOL>setAllWindowsPosition()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=2, AC=OFF, Fan=5, HVAC=ON | DriverMood=Tired / Yawning, Occupants=4, Time=Morning, Media=Playing]

User: Please turn on ac.","Good morning! AC is on — you should feel that soon. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOnAC()</TOOL>"
turnOnAC,turn on ac (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnAC()</TOOL>
- <TOOL>turnOnHvacPower()</TOOL>

[System Context: Speed=0mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=ON, Fan=3, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=3, Time=Night, Media=Playing]

User: Can you turn on ac?",<TOOL>turnOnAC()</TOOL>
turnOffAC,turn off ac (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffAC()</TOOL>
- <TOOL>setWindowPosition(PCT)</TOOL>

[System Context: Speed=0mph, DriverTemp=70F, PassTemp=70F, SeatHeat=0, AC=ON, Fan=3, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Evening, Media=Paused]

User: Can you turn off ac?",I've turned off the AC. <TOOL>turnOffAC()</TOOL>
turnOffAC,turn off ac (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffAC()</TOOL>
- <TOOL>prepareForParking()</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=OFF, Fan=5, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=4, Time=Afternoon, Media=Unknown]

User: Hey, turn off ac.","I've turned off the AC. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOffAC()</TOOL>"
turnOffAC,turn off ac (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffAC()</TOOL>
- <TOOL>setTemperature(VAL)</TOOL>

[System Context: Speed=85mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=1, Time=Morning, Media=Paused]

User: Can you turn off ac?",<TOOL>turnOffAC()</TOOL>
turnOnAutoClimate,auto (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnAutoClimate()</TOOL>
- <TOOL>checkAllWindowsClosed()</TOOL>

[System Context: Speed=65mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=OFF, Fan=2, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=1, Time=Afternoon, Media=Unknown]

User: Can we adjust the auto?",I've turned on automatic climate control. <TOOL>turnOnAutoClimate()</TOOL>
turnOnAutoClimate,auto (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnAutoClimate()</TOOL>
- <TOOL>decreaseTemperature(zone)</TOOL>

[System Context: Speed=0mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=ON, Fan=4, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=2, Time=Afternoon, Media=Unknown]

User: Can we adjust the auto?","I've turned on automatic climate control. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOnAutoClimate()</TOOL>"
turnOnAutoClimate,auto (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnAutoClimate()</TOOL>
- <TOOL>handleDriverFatigue(ALERT_LEVEL)</TOOL>

[System Context: Speed=65mph, DriverTemp=75F, PassTemp=75F, SeatHeat=0, AC=OFF, Fan=3, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=4, Time=Night, Media=Paused]

User: Please help me with the auto.",<TOOL>turnOnAutoClimate()</TOOL>
turnOffAutoClimate,turn off automatic (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffAutoClimate()</TOOL>
- <TOOL>increaseDriverTemperature()</TOOL>

[System Context: Speed=85mph, DriverTemp=60F, PassTemp=60F, SeatHeat=0, AC=ON, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Evening, Media=Unknown]

User: Please turn off automatic.",I've disabled automatic climate control. <TOOL>turnOffAutoClimate()</TOOL>
turnOffAutoClimate,turn off automatic (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffAutoClimate()</TOOL>
- <TOOL>turnOnHvacPower()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=0, AC=ON, Fan=5, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=4, Time=Evening, Media=Unknown]

User: Can you turn off automatic?","I've disabled automatic climate control. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOffAutoClimate()</TOOL>"
turnOffAutoClimate,turn off automatic (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffAutoClimate()</TOOL>
- <TOOL>playMusic(SONG)</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=1, AC=OFF, Fan=5, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=3, Time=Night, Media=Unknown]

User: Hey, turn off automatic.",<TOOL>turnOffAutoClimate()</TOOL>
turnOnRecirculation,turn on recirculation (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnRecirculation()</TOOL>
- <TOOL>analyzeCabinState()</TOOL>

[System Context: Speed=30mph, DriverTemp=75F, PassTemp=75F, SeatHeat=3, AC=ON, Fan=4, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=3, Time=Evening, Media=Paused]

User: Can you turn on recirculation?",I've turned on air recirculation. <TOOL>turnOnRecirculation()</TOOL>
turnOnRecirculation,turn on recirculation (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnRecirculation()</TOOL>
- <TOOL>handleFeelingCold()</TOOL>

[System Context: Speed=65mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=4, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=2, Time=Night, Media=Playing]

User: Can you turn on recirculation?","Good evening. I've turned on air recirculation. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOnRecirculation()</TOOL>"
turnOnRecirculation,turn on recirculation (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnRecirculation()</TOOL>
- <TOOL>setDriverTemperature(VAL)</TOOL>

[System Context: Speed=85mph, DriverTemp=60F, PassTemp=60F, SeatHeat=0, AC=ON, Fan=5, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=1, Time=Afternoon, Media=Paused]

User: Hey, turn on recirculation.",<TOOL>turnOnRecirculation()</TOOL>
turnOffRecirculation,turn off recirculation (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffRecirculation()</TOOL>
- <TOOL>increasePassengerTemperature()</TOOL>

[System Context: Speed=30mph, DriverTemp=70F, PassTemp=70F, SeatHeat=3, AC=ON, Fan=2, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Night, Media=Playing]

User: Hey, turn off recirculation.",Good evening. I've turned off air recirculation. <TOOL>turnOffRecirculation()</TOOL>
turnOffRecirculation,turn off recirculation (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffRecirculation()</TOOL>
- <TOOL>remember(FACT)</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=ON, Fan=5, HVAC=ON | DriverMood=Tired / Yawning, Occupants=4, Time=Afternoon, Media=Playing]

User: Please turn off recirculation.","I've turned off air recirculation. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOffRecirculation()</TOOL>"
turnOffRecirculation,turn off recirculation (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffRecirculation()</TOOL>
- <TOOL>defogWindshield()</TOOL>

[System Context: Speed=30mph, DriverTemp=70F, PassTemp=70F, SeatHeat=2, AC=ON, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=3, Time=Afternoon, Media=Unknown]

User: Can you turn off recirculation?",<TOOL>turnOffRecirculation()</TOOL>
turnOnHvacPower,turn on hvac (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnHvacPower()</TOOL>
- <TOOL>increasePassengerTemperature()</TOOL>

[System Context: Speed=0mph, DriverTemp=75F, PassTemp=75F, SeatHeat=0, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=4, Time=Evening, Media=Playing]

User: Can you turn on hvac?",I've turned on the climate control system. <TOOL>turnOnHvacPower()</TOOL>
turnOnHvacPower,turn on hvac (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnHvacPower()</TOOL>
- <TOOL>suggestNearbyPlaces()</TOOL>

[System Context: Speed=85mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=OFF, Fan=1, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=1, Time=Morning, Media=Playing]

User: Can you turn on hvac?","Good morning! I've turned on the climate control system. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOnHvacPower()</TOOL>"
turnOnHvacPower,turn on hvac (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnHvacPower()</TOOL>
- <TOOL>answerVehicleIdentity()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=0, AC=ON, Fan=4, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=1, Time=Afternoon, Media=Unknown]

User: Can you turn on hvac?",<TOOL>turnOnHvacPower()</TOOL>
turnOffHvacPower,turn off hvac (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffHvacPower()</TOOL>
- <TOOL>unlockDoors()</TOOL>

[System Context: Speed=30mph, DriverTemp=80F, PassTemp=80F, SeatHeat=2, AC=OFF, Fan=3, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=1, Time=Morning, Media=Paused]

User: Please turn off hvac.",Good morning! I've turned off the climate control system. <TOOL>turnOffHvacPower()</TOOL>
turnOffHvacPower,turn off hvac (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffHvacPower()</TOOL>
- <TOOL>prepareForIncomingRain()</TOOL>

[System Context: Speed=30mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=1, HVAC=OFF | DriverMood=Tired / Yawning, Occupants=3, Time=Evening, Media=Playing]

User: Please turn off hvac.","I've turned off the climate control system. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOffHvacPower()</TOOL>"
turnOffHvacPower,turn off hvac (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffHvacPower()</TOOL>
- <TOOL>bookRestaurant()</TOOL>

[System Context: Speed=30mph, DriverTemp=60F, PassTemp=60F, SeatHeat=0, AC=ON, Fan=2, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=4, Time=Night, Media=Paused]

User: Hey, turn off hvac.",<TOOL>turnOffHvacPower()</TOOL>
turnOnDefroster,turn on front defroster (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnDefroster()</TOOL>
- <TOOL>suggestNearbyPlaces()</TOOL>

[System Context: Speed=65mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=ON, Fan=5, HVAC=ON | DriverMood=Neutral / Focused, Occupants=4, Time=Evening, Media=Playing]

User: Hey, turn on front defroster.",Defroster's on — your view should clear up. <TOOL>turnOnDefroster()</TOOL>
turnOnDefroster,turn on front defroster (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnDefroster()</TOOL>
- <TOOL>optimizeEnergyForRange()</TOOL>

[System Context: Speed=85mph, DriverTemp=70F, PassTemp=70F, SeatHeat=3, AC=ON, Fan=4, HVAC=ON | DriverMood=Tired / Yawning, Occupants=1, Time=Afternoon, Media=Unknown]

User: Hey, turn on front defroster.","Defroster's on — your view should clear up. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOnDefroster()</TOOL>"
turnOnDefroster,turn on front defroster (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnDefroster()</TOOL>
- <TOOL>setFanSpeed(LEVEL)</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=3, AC=ON, Fan=4, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=2, Time=Evening, Media=Playing]

User: Can you turn on front defroster?",<TOOL>turnOnDefroster()</TOOL>
turnOffDefroster,turn off front defroster (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffDefroster()</TOOL>
- <TOOL>adjustBgmForSituation()</TOOL>

[System Context: Speed=85mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=ON, Fan=4, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=1, Time=Morning, Media=Playing]

User: Please turn off front defroster.",Good morning! Deactivating front defroster. <TOOL>turnOffDefroster()</TOOL>
turnOffDefroster,turn off front defroster (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffDefroster()</TOOL>
- <TOOL>getNewsHighlights()</TOOL>

[System Context: Speed=0mph, DriverTemp=70F, PassTemp=70F, SeatHeat=1, AC=ON, Fan=5, HVAC=ON | DriverMood=Tired / Yawning, Occupants=4, Time=Morning, Media=Unknown]

User: Can you turn off front defroster?","Good morning! Deactivating front defroster. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOffDefroster()</TOOL>"
turnOffDefroster,turn off front defroster (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOffDefroster()</TOOL>
- <TOOL>searchNearby(amenity)</TOOL>

[System Context: Speed=0mph, DriverTemp=80F, PassTemp=80F, SeatHeat=1, AC=ON, Fan=4, HVAC=ON | DriverMood=Frustrated / Frowning, Occupants=3, Time=Morning, Media=Paused]

User: Hey, turn off front defroster.",<TOOL>turnOffDefroster()</TOOL>
turnOnRearDefroster,turn on rear defroster (Neutral),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnRearDefroster()</TOOL>
- <TOOL>getNewsHighlights()</TOOL>

[System Context: Speed=0mph, DriverTemp=60F, PassTemp=60F, SeatHeat=2, AC=ON, Fan=2, HVAC=OFF | DriverMood=Neutral / Focused, Occupants=2, Time=Morning, Media=Playing]

User: Please turn on rear defroster.",Good morning! Activating rear defroster. <TOOL>turnOnRearDefroster()</TOOL>
turnOnRearDefroster,turn on rear defroster (Tired),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnRearDefroster()</TOOL>
- <TOOL>decreasePassengerTemperature()</TOOL>

[System Context: Speed=85mph, DriverTemp=60F, PassTemp=60F, SeatHeat=0, AC=ON, Fan=3, HVAC=ON | DriverMood=Tired / Yawning, Occupants=4, Time=Night, Media=Unknown]

User: Hey, turn on rear defroster.","Good evening. Activating rear defroster. By the way, you look a bit tired. Let me know if you want me to route to a coffee shop. <TOOL>turnOnRearDefroster()</TOOL>"
turnOnRearDefroster,turn on rear defroster (Frustrated),"=== AVAILABLE TOOLS ===
- <TOOL>turnOnRearDefroster()</TOOL>
- <TOOL>movePassengerSeatForward()</TOOL>

[System Context: Speed=0mph, DriverTemp=65F, PassTemp=65F, SeatHeat=1, AC=OFF, Fan=1, HVAC=OFF | DriverMood=Frustrated / Frowning, Occupants=4, Time=Morning, Media=Paused]

User: Please turn on rear defroster.",<TOOL>turnOnRearDefroster()</TOOL>
